serial_code,make,model,equip_type,purchase_date,firmware_update,checkout_status,health,notes,days_in_use
BAD-GPS-01,Bad Elf,GNSS Surveyor,GPS,"December 1, 2016","June 6, 2017",available,,,50
BAD-GPS-02,Bad Elf,GNSS Surveyor,GPS,"December 1, 2016","June 6, 2017",available,Broken Display,Missing,20
LTI-LSR-01,LTI,TruPulse 360,Laser Rangefinder,"May 1, 2010",4/3/2009,available,,,
LTI-LSR-02,LTI,TruPulse 360,Laser Rangefinder,"May 1, 2010",2/7/2003,available,,,
EOS-GPS-01,EOS,Arrow Gold,GPS,"February 28, 2019",,available,,,12
EOS-GPS-02,EOS,Arrow 100,GPS,"February 28, 2019",,available,,,8
EOS-POL-01,EOS,Arrow Pole,Range Pole,,,available,,Bubble level glue replaced 2021,
IPD-TAB-01,iPad,5th Gen - MP2J2LL/A,Tablet,,,in use,,,
EML-GPS-01,Emlid,Reach RS+,GPS,,,available,,,
DJI-DRN-01,DJI,Mavic 3 E,Drone,2024,7/22/2024,in use,,,10
